Room-Number: 0, Number of beds: 1, Balcony: false, Price: 252.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 1, Number of beds: 2, Balcony: true, Price: 163.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 2, Number of beds: 3, Balcony: true, Price: 176.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 3, Number of beds: 3, Balcony: false, Price: 290.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 4, Number of beds: 3, Balcony: false, Price: 261.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 5, Number of beds: 1, Balcony: false, Price: 174.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 6, Number of beds: 3, Balcony: true, Price: 208.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 7, Number of beds: 2, Balcony: true, Price: 136.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 8, Number of beds: 3, Balcony: true, Price: 217.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 9, Number of beds: 3, Balcony: true, Price: 101.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 10, Number of beds: 2, Balcony: false, Price: 146.0, Booked: true, Booked by: 199403039988, Customer note: null
Room-Number: 11, Number of beds: 2, Balcony: false, Price: 156.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 12, Number of beds: 1, Balcony: false, Price: 204.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 13, Number of beds: 1, Balcony: false, Price: 117.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 14, Number of beds: 1, Balcony: true, Price: 294.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 15, Number of beds: 3, Balcony: true, Price: 145.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 16, Number of beds: 1, Balcony: false, Price: 192.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 17, Number of beds: 2, Balcony: false, Price: 254.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 18, Number of beds: 1, Balcony: true, Price: 209.0, Booked: false, Booked by: null, Customer note: null
Room-Number: 19, Number of beds: 1, Balcony: false, Price: 266.0, Booked: true, Booked by: 199605245050, Customer note: null
Room-Number: 20, Number of beds: 3, Balcony: true, Price: 222.0, Booked: false, Booked by: null, Customer note: null
